Sound type/Voice set id	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
Clear1	5000	5100	5200	5300	5400	5500	5600	5700	5800	5900	6000	6100	6200	6300	6400	6500	6600	6700	6800	6900	7000	7100	7200	7300	7400	7500	7600	7700	7800	7900
Clear2	5001	5101	5201	5301	5401	5501	5601	5701	5801	5901	6001	6101	6201	6301	6401	6501	6601	6701	6801	6901	7001	7101	7201	7301	7401	7501	7601	7701	7801	7901
Closed1	5002	5102	5202	5302	5402	5502	5602	5702	5802	5902	6002	6102	6202	6302	6402	6502	6602	6702	6802	6902	7002	7102	7202	7302	7402	7502	7602	7702	7802	7902
Closed2	5003	5103	5203	5303	5403	5503	5603	5703	5803	5903	6003	6103	6203	6303	6403	6503	6603	6703	6803	6903	7003	7103	7203	7303	7403	7503	7603	7703	7803	7903
Oops1	5004	5104	5204	5304	5404	5504	5604	5704	5804	5904	6004	6104	6204	6304	6404	6504	6604	6704	6804	6904	7004	7104	7204	7304	7404	7504	7604	7704	7804	7904
Oops2	5005	5105	5205	5305	5405	5505	5605	5705	5805	5905	6005	6105	6205	6305	6405	6505	6605	6705	6805	6905	7005	7105	7205	7305	7405	7505	7605	7705	7805	7905
Ready1	5006	5106	5206	5306	5406	5506	5606	5706	5806	5906	6006	6106	6206	6306	6406	6506	6606	6706	6806	6906	7006	7106	7206	7306	7406	7506	7606	7706	7806	7906
Ready2	5007	5107	5207	5307	5407	5507	5607	5707	5807	5907	6007	6107	6207	6307	6407	6507	6607	6707	6807	6907	7007	7107	7207	7307	7407	7507	7607	7707	7807	7907
BadItem1	5008	5108	5208	5308	5408	5508	5608	5708	5808	5908	6008	6108	6208	6308	6408	6508	6608	6708	6808	6908	7008	7108	7208	7308	7408	7508	7608	7708	7808	7908
BadItem2	5009	5109	5209	5309	5409	5509	5609	5709	5809	5909	6009	6109	6209	6309	6409	6509	6609	6709	6809	6909	7009	7109	7209	7309	7409	7509	7609	7709	7809	7909
GoodItem1	5010	5110	5210	5310	5410	5510	5610	5710	5810	5910	6010	6110	6210	6310	6410	6510	6610	6710	6810	6910	7010	7110	7210	7310	7410	7510	7610	7710	7810	7910
GoodItem2	5011	5111	5211	5311	5411	5511	5611	5711	5811	5911	6011	6111	6211	6311	6411	6511	6611	6711	6811	6911	7011	7111	7211	7311	7411	7511	7611	7711	7811	7911
CantIdent1	5012	5112	5212	5312	5412	5512	5612	5712	5812	5912	6012	6112	6212	6312	6412	6512	6612	6712	6812	6912	7012	7112	7212	7312	7412	7512	7612	7712	7812	7912
CantIdent2	5013	5113	5213	5313	5413	5513	5613	5713	5813	5913	6013	6113	6213	6313	6413	6513	6613	6713	6813	6913	7013	7113	7213	7313	7413	7513	7613	7713	7813	7913
Repaired1	5014	5114	5214	5314	5414	5514	5614	5714	5814	5914	6014	6114	6214	6314	6414	6514	6614	6714	6814	6914	7014	7114	7214	7314	7414	7514	7614	7714	7814	7914
Repaired2	5015	5115	5215	5315	5415	5515	5615	5715	5815	5915	6015	6115	6215	6315	6415	6515	6615	6715	6815	6915	7015	7115	7215	7315	7415	7515	7615	7715	7815	7915
CantRep1	5016	5116	5216	5316	5416	5516	5616	5716	5816	5916	6016	6116	6216	6316	6416	6516	6616	6716	6816	6916	7016	7116	7216	7316	7416	7516	7616	7716	7816	7916
CantRep2	5017	5117	5217	5317	5417	5517	5617	5717	5817	5917	6017	6117	6217	6317	6417	6517	6617	6717	6817	6917	7017	7117	7217	7317	7417	7517	7617	7717	7817	7917
EasyFight1	5018	5118	5218	5318	5418	5518	5618	5718	5818	5918	6018	6118	6218	6318	6418	6518	6618	6718	6818	6918	7018	7118	7218	7318	7418	7518	7618	7718	7818	7918
EasyFight2	5019	5119	5219	5319	5419	5519	5619	5719	5819	5919	6019	6119	6219	6319	6419	6519	6619	6719	6819	6919	7019	7119	7219	7319	7419	7519	7619	7719	7819	7919
HardFight1	5020	5120	5220	5320	5420	5520	5620	5720	5820	5920	6020	6120	6220	6320	6420	6520	6620	6720	6820	6920	7020	7120	7220	7320	7420	7520	7620	7720	7820	7920
HardFight2	5021	5121	5221	5321	5421	5521	5621	5721	5821	5921	6021	6121	6221	6321	6421	6521	6621	6721	6821	6921	7021	7121	7221	7321	7421	7521	7621	7721	7821	7921
CantIdMon1	5022	5122	5222	5322	5422	5522	5622	5722	5822	5922	6022	6122	6222	6322	6422	6522	6622	6722	6822	6922	7022	7122	7222	7322	7422	7522	7622	7722	7822	7922
CantIdMon2	5023	5123	5223	5323	5423	5523	5623	5723	5823	5923	6023	6123	6223	6323	6423	6523	6623	6723	6823	6923	7023	7123	7223	7323	7423	7523	7623	7723	7823	7923
Ha!1	5024	5124	5224	5324	5424	5524	5624	5724	5824	5924	6024	6124	6224	6324	6424	6524	6624	6724	6824	6924	7024	7124	7224	7324	7424	7524	7624	7724	7824	7924
Ha!2	5025	5125	5225	5325	5425	5525	5625	5725	5825	5925	6025	6125	6225	6325	6425	6525	6625	6725	6825	6925	7025	7125	7225	7325	7425	7525	7625	7725	7825	7925
Hungry1	5026	5126	5226	5326	5426	5526	5626	5726	5826	5926	6026	6126	6226	6326	6426	6526	6626	6726	6826	6926	7026	7126	7226	7326	7426	7526	7626	7726	7826	7926
Hungry2	5027	5127	5227	5327	5427	5527	5627	5727	5827	5927	6027	6127	6227	6327	6427	6527	6627	6727	6827	6927	7027	7127	7227	7327	7427	7527	7627	7727	7827	7927
